slug,sku,name,brand,product_family,flavor,candyrama_category,category_confidence,status,tagline,description,ingredients,allergens_pipe,seasonal,accent_color,source_master_skus
almonds-roasted-salted,TT-Almonds-RoastedSalted,Almonds - Roasted Salted,TWISTED_TREATZ,Almonds,Roasted Salted,GUMMIES,REVIEW,DRAFT,,,,,FALSE,#EA537B,TT-almonds-bite-crunchy-energy
banana-chips-original,TT-BananaChips-Original,Banana Chips - Original,TWISTED_TREATZ,Banana Chips,Original,GIFT_BOXES,REVIEW,DRAFT,,,,,FALSE,#EA537B,BananaChips-Original
bananarama-banana,TT-Bananarama-Banana,Bananarama - Banana,TWISTED_TREATZ,Bananarama,Banana,GUMMIES,REVIEW,DRAFT,,,,,FALSE,#EA537B,TT-banana-bananarama-crunchy-hard
brownie-brittle-chocolate,TT-BrownieBrittle-Chocolate,Brownie Brittle - Chocolate,TWISTED_TREATZ,Brownie Brittle,Chocolate,BRITTLE,HIGH,DRAFT,,,,,FALSE,#EA537B,BrownieBrittle-Chocolate
brownie-brittle-m-m,TT-BrownieBrittle-MM,Brownie Brittle - M&M,TWISTED_TREATZ,Brownie Brittle,M&M,BRITTLE,HIGH,DRAFT,,,,,FALSE,#EA537B,BrownieBrittle-MM
brownie-brittle-original,TT-BrownieBrittle-Original,Brownie Brittle - Original,TWISTED_TREATZ,Brownie Brittle,Original,BRITTLE,HIGH,DRAFT,,,,,FALSE,#EA537B,BrownieBrittle-1lb...
bundles-blue-raspberry,TT-Bundles-BlueRaspberry,Bundles - Blue Raspberry,TWISTED_TREATZ,Bundles,Blue Raspberry,GIFT_BOXES,REVIEW,DRAFT,,,,,FALSE,#EA537B,Bundle-BlueGummyTrio
bundles-chamoy-pickle-kit,TT-Bundles-ChamoyPickleKit,Bundles - Chamoy Pickle Kit,TWISTED_TREATZ,Bundles,Chamoy Pickle Kit,GIFT_BOXES,REVIEW,DRAFT,,,,,FALSE,#EA537B,TT-chamoy-gusano-kit-lucas
bundles-root-beer-butterscotch,TT-Bundles-RootBeerButterscotch,Bundles - Root Beer & Butterscotch,TWISTED_TREATZ,Bundles,Root Beer & Butterscotch,GIFT_BOXES,REVIEW,DRAFT,,,,,FALSE,#EA537B,Bundle-RootBeerButterscotchRetro
butter-toffee-original,TT-ButterToffee-Original,Butter Toffee - Original,TWISTED_TREATZ,Butter Toffee,Original,GUMMIES,REVIEW,DRAFT,,,,,FALSE,#EA537B,TT-butter-creamy-hard-toffee
butter-toffee-nuts-almond,TT-ButterToffeeNuts-Almond,Butter Toffee Nuts - Almond,TWISTED_TREATZ,Butter Toffee Nuts,Almond,CHEWS,REVIEW,DRAFT,,,,,FALSE,#EA537B,ButterToffee-Almonds
butter-toffee-nuts-cashew,TT-ButterToffeeNuts-Cashew,Butter Toffee Nuts - Cashew,TWISTED_TREATZ,Butter Toffee Nuts,Cashew,CHEWS,REVIEW,DRAFT,,,,,FALSE,#EA537B,ButterToffee-Cashews
butter-toffee-nuts-pecan,TT-ButterToffeeNuts-Pecan,Butter Toffee Nuts - Pecan,TWISTED_TREATZ,Butter Toffee Nuts,Pecan,CHEWS,REVIEW,DRAFT,,,,,FALSE,#EA537B,ButterToffee-Pecans
butterscotch-buttons-original,TT-ButterscotchButtons-Original,Butterscotch Buttons - Original,TWISTED_TREATZ,Butterscotch Buttons,Original,CHEWS,REVIEW,DRAFT,,,,,FALSE,#EA537B,ButterscotchButtons
candy-barrels-root-beer,TT-CandyBarrels-RootBeer,Candy Barrels - Root Beer,TWISTED_TREATZ,Candy Barrels,Root Beer,GIFT_BOXES,REVIEW,DRAFT,,,,,FALSE,#EA537B,CandyBarrels-RootBeer
candy-corn-blackberry-cobbler,TT-CandyCorn-BlackberryCobbler,Candy Corn - Blackberry Cobbler,TWISTED_TREATZ,Candy Corn,Blackberry Cobbler,SEASONAL,REVIEW,DRAFT,,,,,TRUE,#EA537B,CandyCorn-BlackberryCobbler
candy-corn-caramel,TT-CandyCorn-Caramel,Candy Corn - Caramel,TWISTED_TREATZ,Candy Corn,Caramel,SEASONAL,REVIEW,DRAFT,,,,,TRUE,#EA537B,CandyCorn-Caramel
candy-corn-caramel-apple,TT-CandyCorn-CaramelApple,Candy Corn - Caramel Apple,TWISTED_TREATZ,Candy Corn,Caramel Apple,SEASONAL,REVIEW,DRAFT,,,,,TRUE,#EA537B,CandyCorn-CaramelApple
candy-corn-christmas,TT-CandyCorn-Christmas,Candy Corn - Christmas,TWISTED_TREATZ,Candy Corn,Christmas,SEASONAL,REVIEW,DRAFT,,,,,TRUE,#EA537B,CandyCorn-Christmas
candy-corn-easter,TT-CandyCorn-Easter,Candy Corn - Easter,TWISTED_TREATZ,Candy Corn,Easter,SEASONAL,REVIEW,DRAFT,,,,,TRUE,#EA537B,CandyCorn-Easter
candy-corn-original,TT-CandyCorn-Original,Candy Corn - Original,TWISTED_TREATZ,Candy Corn,Original,SEASONAL,REVIEW,DRAFT,,,,,TRUE,#EA537B,CandyCorn-Original
candy-corn-s-mores,TT-CandyCorn-Smores,Candy Corn - S'mores,TWISTED_TREATZ,Candy Corn,S'mores,SEASONAL,REVIEW,DRAFT,,,,,TRUE,#EA537B,CandyCorn-Smores
candy-corn-valentine,TT-CandyCorn-Valentine,Candy Corn - Valentine,TWISTED_TREATZ,Candy Corn,Valentine,SEASONAL,REVIEW,DRAFT,,,,,TRUE,#EA537B,CandyCorn-Valentine; TT-corn-day-gifts-pink; Valen-Corn-8oz-1PK; Valen-Corn-8oz-1PK.
caramel-chews-apple,TT-CaramelChews-Apple,Caramel Chews - Apple,TWISTED_TREATZ,Caramel Chews,Apple,CHEWS,HIGH,DRAFT,,,,,FALSE,#EA537B,CaramelAppleChews-1lb.; CaramelAppleChews-3lbJar; CaramelAppleChews-8oz; CaramelChews-Apple
caramel-chews-assorted,TT-CaramelChews-Assorted,Caramel Chews - Assorted,TWISTED_TREATZ,Caramel Chews,Assorted,CHEWS,HIGH,DRAFT,,,,,FALSE,#EA537B,AssortedCaramelChews-1lb.; AssortedCaramelChews-3lbJar; AssortedCaramelChews-8oz; Bundle-CaramelChewsVariety; CaramelChews-Assorted
caramel-chews-chocolate,TT-CaramelChews-Chocolate,Caramel Chews - Chocolate,TWISTED_TREATZ,Caramel Chews,Chocolate,CHEWS,HIGH,DRAFT,,,,,FALSE,#EA537B,CaramelChews-Chocolate
caramel-chews-coconut,TT-CaramelChews-Coconut,Caramel Chews - Coconut,TWISTED_TREATZ,Caramel Chews,Coconut,CHEWS,HIGH,DRAFT,,,,,FALSE,#EA537B,CaramelChews-Coconut; TT-buttery-caramel-chews-coconut
caramel-chews-original,TT-CaramelChews-Original,Caramel Chews - Original,TWISTED_TREATZ,Caramel Chews,Original,CHEWS,HIGH,DRAFT,,,,,FALSE,#EA537B,CaramelChews-1lb.; CaramelChews-3lbJar; CaramelChews-8oz; CaramelChews-Original
caramel-chews-patriotic-chocolate,TT-CaramelChews-PatrioticChocolate,Caramel Chews - Patriotic Chocolate,TWISTED_TREATZ,Caramel Chews,Patriotic Chocolate,CHEWS,HIGH,DRAFT,,,,,FALSE,#EA537B,TT-caramel-chocolate-patriotic
caramel-chews-sea-salt,TT-CaramelChews-SeaSalt,Caramel Chews - Sea Salt,TWISTED_TREATZ,Caramel Chews,Sea Salt,CHEWS,HIGH,DRAFT,,,,,FALSE,#EA537B,CaramelChews-SeaSalt; SeaSaltCaramelChews-1lb.; SeaSaltCaramelChews-3lbJar
caramel-chews-vanilla,TT-CaramelChews-Vanilla,Caramel Chews - Vanilla,TWISTED_TREATZ,Caramel Chews,Vanilla,CHEWS,HIGH,DRAFT,,,,,FALSE,#EA537B,TT-buttery-caramel-chews-vanilla
cashews-honey-roasted,TT-Cashews-HoneyRoasted,Cashews - Honey Roasted,TWISTED_TREATZ,Cashews,Honey Roasted,GUMMIES,REVIEW,DRAFT,,,,,FALSE,#EA537B,TT-blend-cashew-cashews-crunchy
chamoy-candy-tajin,TT-ChamoyCandy-Tajin,Chamoy Candy - Tajin,TWISTED_TREATZ,Chamoy Candy,Tajin,GUMMIES,REVIEW,DRAFT,,,,,FALSE,#EA537B,TT-chamoy-gushers-mexican-skittles
