product_sku,variant_sku,size_sig,is_default,net_weight,price_usd,stock_qty,amazon_skus,shopify_skus,tiktok_skus,temu_skus
TT-Almonds-RoastedSalted,TT-almonds-bite-crunchy-energy,,TRUE,,,,,,,
TT-BananaChips-Original,BananaChips-Original,,TRUE,,,,,,,
TT-Bananarama-Banana,Bananarama-Candy-8oz-1-PK,8oz,TRUE,8 oz,,,,,Bananarama-Candy-8oz-1-PK,
TT-Bananarama-Banana,Bananarama-Candy-8oz-2-pk,8oz,FALSE,8 oz,,,,,Bananarama-Candy-8oz-2-pk,
TT-Bananarama-Banana,Bananarama-Candy-8oz-4-pk,8oz,FALSE,8 oz,,,,,Bananarama-Candy-8oz-4-pk,
TT-Bananarama-Banana,TT-banana-bananarama-crunchy-hard,,FALSE,,,,,,,
TT-BrownieBrittle-Chocolate,BrownieBrittle-4oz-1pk,1pk|4oz,TRUE,4 oz,,,,,,BrownieBrittle-4oz-1pk
TT-BrownieBrittle-Chocolate,BrownieBrittle-8oz-1pk,1pk|8oz,FALSE,8 oz,,,,,,BrownieBrittle-8oz-1pk
TT-BrownieBrittle-Chocolate,BrownieBrittle-Chocolate,,FALSE,,,,,,,
TT-BrownieBrittle-MM,M&MBrittle-16oz-1pk,16oz|1pk,TRUE,16 oz,,,,,M&MBrittle-16oz-1pk,
TT-BrownieBrittle-MM,M&MBrittle-1lb,1lb,FALSE,1 lb,,,,,M&MBrittle-1lb,
TT-BrownieBrittle-MM,M&MBrittle-1lb..,1lb,FALSE,1 lb,,,,,M&MBrittle-1lb..,
TT-BrownieBrittle-MM,M&MBrittle-4oz,4oz,FALSE,4 oz,,,,,M&MBrittle-4oz,
TT-BrownieBrittle-MM,M&MBrittle-4oz..,4oz,FALSE,4 oz,,,,,M&MBrittle-4oz..,
TT-BrownieBrittle-MM,M&MBrittle-8oz,8oz,FALSE,8 oz,,,,,M&MBrittle-8oz,
TT-BrownieBrittle-MM,M&MBrittle-8oz-1pk,1pk|8oz,FALSE,8 oz,,,,,M&MBrittle-8oz-1pk,
