Master SKU,Brand,Product family,Flavor,Amazon SKU(s),Shopify SKU(s),TikTok SKU(s),Temu SKU(s)
Albanese-Asstd-Gummy-5lb,Other (IP),Albanese,Assorted,Albanese-Asstd-Gummy-5lb,,,
AlmondMilkCoffeee-5oz,,Milk Toffee,Almond,AlmondMilkCoffeee-5oz,,,
Ameerah-ArabicOud,Other (IP),Personal Care,Ameerah Arabic Oud Body Spray,,,,(blank) [so_bazic]
Ameerah-Bushra,Other (IP),Personal Care,Ameerah Bushra Body Spray,,,,(blank) [so_bazic]
Ameerah-Mukhallat,Other (IP),Personal Care,Ameerah Mukhallat Body Spray,,,,(blank) [so_bazic]
Ameerah-Taibah,Other (IP),Personal Care,Ameerah Taibah Body Spray,,,,(blank) [so_bazic]
Ariel-LiquidDetergentColorCare,Other (IP),Household,Ariel Liquid Detergent Color Care,,,,Ariel-Liq-Deter-800ML-1Pk [so_bazic]; Ariel-Liq-Deter-800ML-2Pk [so_bazic]
Ariel-PowderDetergent,Other (IP),Household,Ariel Powder Detergent,,,,Ariel-Detergent-500g-1Pk [so_bazic]; Ariel-Detergent-850g-1Pk [so_bazic]; Ariel-Detergent-850g-2Pk [so_bazic]
Ariel-RevitacolorDetergent,Other (IP),Household,Ariel Revitacolor Detergent,,,,Ariel-Liq-Deter-800ML-1Pk [so_bazic]; Ariel-Liq-Deter-800ML-2Pk [so_bazic]
ArmyGuys-8oz-1ct,TwistedTreatz,Gummy Army Guys,Original,ArmyGuys-8oz-1ct,,,
ArmyGuys-8oz-2ct,TwistedTreatz,Gummy Army Guys,Original,ArmyGuys-8oz-2ct,,ArmyGuys-8oz-2ct,(blank); ArmyGuys-8oz-2ct
AromatherapyLotion-LavenderChamomile,Other (IP),Personal Care,Aromatherapy Lotion Lavender Chamomile,,,,Aroma-BodyLotion-Lav-1PK [so_bazic]
Assorted Flavor,,Gummy Bears,Assorted,Assorted Flavor,,,
AssortedCaramelChews-1lb.,TwistedTreatz,Caramel Chews,Assorted,AssortedCaramelChews-1lb.,,AssortedCaramelChews-1lb,
AssortedCaramelChews-3lbJar,TwistedTreatz,Caramel Chews,Assorted,AssortedCaramelChews-3lbJar,,,
AssortedCaramelChews-8oz,TwistedTreatz,Caramel Chews,Assorted,AssortedCaramelChews-8oz,,AssortedCaramelChews-8oz,
AssortedGummyBears-5lb,Other (IP),Albanese,Assorted,AssortedGummyBears-5lb,,,
